"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase"
5317, "Transformer.05410_G2102CC0600", 1.381, 1.883, 114.6597, 84.08379, 19.9 
5318, "Transformer.05410_G2001WL3500", 3.608, 4.921, 101.0235, 74.08388, 7.62 
5318, "Transformer.05410_G2100DL9800", 2.071, 2.824, 115.7962, 84.91723, 19.9 
5318, "Transformer.05410_G2100EN2200", 2.761, 3.765, 122.2364, 89.64006, 19.9 
5318, "Transformer.05410_G2100GI2700", 1.381, 1.883, 201.8606, 148.0311, 19.9 
5318, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 232.6426, 170.6046, 19.9 
5318, "Transformer.05410_G2100OJ3400", 7.217, 9.841, 102.2228, 74.96342, 7.62 
5318, "Transformer.05410_G2101BC7200", 7.217, 9.841, 117.9874, 86.5241, 7.62 
5318, "Transformer.05410_G2101CO1900", 0.8284, 1.13, 101.606, 74.5111, 19.9 
5318, "Transformer.05410_G2102CC0600", 1.381, 1.883, 119.8096, 87.86038, 19.9 
5319, "Transformer.STEP_05410_G2101CD0200", 18.39, 25.08, 102.137, 74.90047, 19.9 
5319, "Transformer.05410_G2000VH9100", 0.8284, 1.13, 100.1389, 73.43517, 19.9 
5319, "Transformer.05410_G2001WL3500", 3.608, 4.921, 103.3582, 75.796, 7.62 
5319, "Transformer.05410_G2100DL9800", 2.071, 2.824, 118.4704, 86.8783, 19.9 
5319, "Transformer.05410_G2100EN2200", 2.761, 3.765, 124.9884, 91.65813, 19.9 
5319, "Transformer.05410_G2100GI2700", 1.381, 1.883, 206.4251, 151.3784, 19.9 
5319, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 236.326, 173.3058, 19.9 
5319, "Transformer.05410_G2100OJ3400", 7.217, 9.841, 104.5861, 76.69648, 7.62 
5319, "Transformer.05410_G2101BC7200", 7.217, 9.841, 119.8464, 87.88738, 7.62 
5319, "Transformer.05410_G2101CO1900", 0.8284, 1.13, 103.2064, 75.68468, 19.9 
5319, "Transformer.05410_G2101GC9700", 2.761, 3.765, 101.1631, 74.18624, 19.9 
5319, "Transformer.05410_G2102CC0600", 1.381, 1.883, 121.7004, 89.24694, 19.9 
5320, "Transformer.STEP_05410_G2101CD0200", 18.39, 25.08, 103.4138, 75.83679, 19.9 
5320, "Transformer.05410_G2000VH9100", 0.8284, 1.13, 100.9873, 74.05737, 19.9 
5320, "Transformer.05410_G2001WL3500", 3.608, 4.921, 104.6502, 76.74351, 7.62 
5320, "Transformer.05410_G2100DL9800", 2.071, 2.824, 119.9509, 87.96399, 19.9 
5320, "Transformer.05410_G2100EN2200", 2.761, 3.765, 126.0494, 92.43625, 19.9 
5320, "Transformer.05410_G2100GI2700", 1.381, 1.883, 208.182, 152.6668, 19.9 
5320, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 236.485, 173.4223, 19.9 
5320, "Transformer.05410_G2100OJ3400", 7.217, 9.841, 105.8942, 77.65571, 7.62 
5320, "Transformer.05410_G2101BC7200", 7.217, 9.841, 119.9262, 87.9459, 7.62 
5320, "Transformer.05410_G2101CO1900", 0.8284, 1.13, 103.275, 75.73502, 19.9 
5320, "Transformer.05410_G2101GC9700", 2.761, 3.765, 101.2303, 74.23555, 19.9 
5320, "Transformer.05410_G2102CC0600", 1.381, 1.883, 121.7815, 89.30646, 19.9 
5321, "Transformer.STEP_05410_G2101CD0200", 18.39, 25.08, 102.0861, 74.86317, 19.9 
5321, "Transformer.05410_G2001WL3500", 3.608, 4.921, 103.3068, 75.75831, 7.62 
5321, "Transformer.05410_G2100DL9800", 2.071, 2.824, 118.411, 86.83473, 19.9 
5321, "Transformer.05410_G2100EN2200", 2.761, 3.765, 124.5187, 91.31369, 19.9 
5321, "Transformer.05410_G2100GI2700", 1.381, 1.883, 205.646, 150.8071, 19.9 
5321, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 233.4928, 171.228, 19.9 
5321, "Transformer.05410_G2100OJ3400", 7.217, 9.841, 104.534, 76.65828, 7.62 
5321, "Transformer.05410_G2101BC7200", 7.217, 9.841, 118.4181, 86.83995, 7.62 
5321, "Transformer.05410_G2101CO1900", 0.8284, 1.13, 101.9763, 74.78266, 19.9 
5321, "Transformer.05410_G2102CC0600", 1.381, 1.883, 120.2468, 88.18097, 19.9 
5322, "Transformer.STEP_05410_G2101CD0200", 18.39, 25.08, 101.5225, 74.44983, 19.9 
5322, "Transformer.05410_G2001WL3500", 3.608, 4.921, 102.7365, 75.34012, 7.62 
5322, "Transformer.05410_G2100DL9800", 2.071, 2.824, 117.7574, 86.35541, 19.9 
5322, "Transformer.05410_G2100EN2200", 2.761, 3.765, 122.5693, 89.88417, 19.9 
5322, "Transformer.05410_G2100GI2700", 1.381, 1.883, 202.4212, 148.4422, 19.9 
5322, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 231.7814, 169.9731, 19.9 
5322, "Transformer.05410_G2100OJ3400", 7.217, 9.841, 103.9566, 76.23484, 7.62 
5322, "Transformer.05410_G2101BC7200", 7.217, 9.841, 117.5513, 86.2043, 7.62 
5322, "Transformer.05410_G2101CO1900", 0.8284, 1.13, 101.2311, 74.23612, 19.9 
5322, "Transformer.05410_G2102CC0600", 1.381, 1.883, 119.3668, 87.53567, 19.9 
5323, "Transformer.05410_G2001WL3500", 3.608, 4.921, 100.3049, 73.55694, 7.62 
