Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"1587040", 22.87, 1,    13667.6,   -3.9,    1.0351, 2,    13737.1, -124.1,    1.0404, 3,    13687.5,  116.4,    1.0366
"1599456", 22.87, 1,    13673.2,   -2.6,    1.0355, 2,    13648.1, -122.9,    1.0336, 3,    13688.9,  117.4,    1.0367
"1586204", 22.87, 2,    13606.3, -125.1,    1.0305, 0, 0, 0, 0, 0, 0, 0, 0
"1585987", 22.87, 2,    13613.5, -125.1,     1.031, 0, 0, 0, 0, 0, 0, 0, 0
"1585963", 22.87, 1,    439.215, -125.1,  0.033264, 2,    13613.1, -125.1,     1.031, 3,    439.215, -125.1,  0.033264
"1709376", 22.87, 3,    13648.3,  115.7,    1.0336, 0, 0, 0, 0, 0, 0, 0, 0
"26401830", 22.87, 1,    13465.7,   -5.3,    1.0198, 2,    13659.7, -125.2,    1.0345, 3,    424.402,  -65.9,  0.032142
"1708879", 22.87, 2,    13659.1, -125.2,    1.0345, 0, 0, 0, 0, 0, 0, 0, 0
"1709497", 22.87, 2,    13651.7, -125.2,    1.0339, 0, 0, 0, 0, 0, 0, 0, 0
"1709170", 22.87, 2,    13648.9, -125.1,    1.0337, 0, 0, 0, 0, 0, 0, 0, 0
"1713291", 22.87, 3,    13694.7,  116.5,    1.0372, 0, 0, 0, 0, 0, 0, 0, 0
"1713275", 22.87, 1,    441.712,  116.5,  0.033453, 2,    441.712,  116.5,  0.033453, 3,    13693.1,  116.5,     1.037
"103197438", 22.87, 1,    442.065,  116.9,   0.03348, 2,    442.065,  116.9,   0.03348, 3,    13704.1,  116.9,    1.0379
"1715938", 22.87, 3,      13704,  116.9,    1.0379, 0, 0, 0, 0, 0, 0, 0, 0
"1729278", 22.87, 1,      13674,   -2.6,    1.0356, 2,    13649.7, -123.0,    1.0338, 3,    13691.4,  117.3,    1.0369
"1729276", 22.87, 1,    13674.1,   -2.7,    1.0356, 2,    13650.6, -123.0,    1.0338, 3,    13692.6,  117.3,     1.037
"1586076", 22.87, 2,    13621.4, -125.1,    1.0316, 0, 0, 0, 0, 0, 0, 0, 0
"1586085", 22.87, 2,    13620.4, -125.1,    1.0315, 0, 0, 0, 0, 0, 0, 0, 0
"1599373", 22.87, 2,    13641.8, -122.7,    1.0332, 0, 0, 0, 0, 0, 0, 0, 0
"1599371", 22.87, 2,    13641.6, -122.7,    1.0331, 0, 0, 0, 0, 0, 0, 0, 0
"1599103", 22.87, 1,    13674.6,   -2.1,    1.0356, 2,    13639.6, -122.5,     1.033, 3,    13671.3,  117.8,    1.0354
"1585999", 22.87, 1,    438.485,  115.2,  0.033209, 2,    438.485,  115.2,  0.033209, 3,    13593.1,  115.2,    1.0295
"26403405", 22.87, 1,    13639.4,   -4.0,     1.033, 2,    440.063,   -4.0,  0.033328, 3,    440.063,   -4.0,  0.033328
"1586812", 22.87, 1,    13638.8,   -4.0,    1.0329, 0, 0, 0, 0, 0, 0, 0, 0
"1586867", 22.87, 1,    13638.1,   -4.0,    1.0329, 0, 0, 0, 0, 0, 0, 0, 0
"1586894", 22.87, 1,    13637.8,   -4.0,    1.0329, 0, 0, 0, 0, 0, 0, 0, 0
"1710469", 22.87, 1,    13709.9,   -4.1,    1.0383, 2,    13710.5, -124.4,    1.0384, 3,    13659.6,  115.8,    1.0345
"1710432", 22.87, 1,    13709.9,   -4.1,    1.0383, 2,    428.078,   55.7,   0.03242, 3,    13659.5,  115.8,    1.0345
"1713132", 22.87, 2,    13650.7, -125.2,    1.0338, 0, 0, 0, 0, 0, 0, 0, 0
"1713130", 22.87, 2,    13650.7, -125.2,    1.0338, 0, 0, 0, 0, 0, 0, 0, 0
"1715903", 22.87, 3,    13703.7,  116.9,    1.0378, 0, 0, 0, 0, 0, 0, 0, 0
"1715829", 22.87, 3,    13703.6,  116.9,    1.0378, 0, 0, 0, 0, 0, 0, 0, 0
"1710213", 22.87, 1,    13684.6,   -3.6,    1.0364, 2,    13665.5, -123.9,    1.0349, 3,    13712.1,  116.3,    1.0385
