[GENERAL]
DATE=May 26, 2015 at 10:38:55
CYME_VERSION=5.04
CYMDIST_REVISION=02

[SI]

[CUSTOMER CLASS]
FORMAT_CUSTOMERCLASS=ID,Description,Color,ConstantPower,ConstantCurrent,ConstantImpedance,UtilizationFactor,PowerFactor,MeteredLoads,NonMeteredLoads,LoadFactor,FrequencySensitivityP,FrequencySensitivityQ,EnableHarmonic,IsExponentialModel,ConstantImpedanceZP,ConstantImpedanceZQ,ConstantCurrentIP,ConstantCurrentIQ,ConstantPowerPP,ConstantPowerPQ,ExponentialModelP,ExponentialModelQ,LoadFlowVoltagePercentOfNominal,AdjustmentSettings,PowerCurveModel,PowerCurveModelId
Commercial,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Industrial,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Other,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
PrimaryMeter,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Residential,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,


[LOADS]
FORMAT_LOADS=SectionID,DeviceNumber,LoadType,Connection,Location
EXS23__2563075,EXS23_2563075,SPOT,0,2
E3R03__2569328,E3R03_2569328,SPOT,0,2
E3R41__2569343,E3R41_2569343,SPOT,0,2
E3R00__2569320,E3R00_2569320,SPOT,0,2
E2N02__2563043,E2N02_2563043,SPOT,0,2
E2M30__2569301,E2M30_2569301,SPOT,0,2
E3R25__2569336,E3R25_2569336,SPOT,0,2
E0V01__103623011,E0V01_103623011,SPOT,0,2
E2N23__2563052,E2N23_2563052,SPOT,0,2
E3R04__2576047,E3R04_2576047,SPOT,0,2
E1151__2569180,E1151_2569180,SPOT,0,2
E2N21__2563051,E2N21_2563051,SPOT,0,2
E3R24__2569335,E3R24_2569335,SPOT,0,2
EW256__2562961,EW256_2562961,SPOT,0,2
EXS27__2563030,EXS27_2563030,SPOT,0,2
E1535__2580623,E1535_2580623,SPOT,0,2
E3R27__2569338,E3R27_2569338,SPOT,0,2
18GJ24__105595322,18GJ24_105595322,SPOT,0,2
6GJ39__2573985,6GJ39_2573985,SPOT,0,2
E2M53__2569217,E2M53_2569217,SPOT,0,2
E3R07__2569329,E3R07_2569329,SPOT,0,2
E0P12__2562278,E0P12_2562278,SPOT,0,2
EXS06__2563021,EXS06_2563021,SPOT,0,2
E2N26__2563053,E2N26_2563053,SPOT,0,2
E0Z17__2562270,E0Z17_2562270,SPOT,0,2
E2M15__2569312,E2M15_2569312,SPOT,0,2
E2N47__2563061,E2N47_2563061,SPOT,0,2
EZZ21__2470625,EZZ21_2470625,SPOT,0,2
E2N06__2563045,E2N06_2563045,SPOT,0,2
E2N44__2563060,E2N44_2563060,SPOT,0,2
E1052__103144517,E1052_103144517,SPOT,0,2
E2N04__2563044,E2N04_2563044,SPOT,0,2
E2J62__2562837,E2J62_2562837,SPOT,0,2
E1160__2562556,E1160_2562556,SPOT,0,2
E1674__2576444,E1674_2576444,SPOT,0,2
E0V39__2563586,E0V39_2563586,SPOT,0,2
8LP26__2576446,8LP26_2576446,SPOT,0,2
E3Y48__2569305,E3Y48_2569305,SPOT,0,2
E1730__2569011,E1730_2569011,SPOT,0,2
6PX11__2574549,6PX11_2574549,SPOT,0,2
E1732__2569098,E1732_2569098,SPOT,0,2
E2J33__2569427,E2J33_2569427,SPOT,0,2
113614__2583212,113614_2583212,SPOT,0,2
9DP63__2576765,9DP63_2576765,SPOT,0,2
E2K89__2563085,E2K89_2563085,SPOT,0,2
E1515__2582718,E1515_2582718,SPOT,0,2
EXF94__2574463,EXF94_2574463,SPOT,0,2
E1736__2569090,E1736_2569090,SPOT,0,2
94M90__2577300,94M90_2577300,SPOT,0,2
E1734__2569099,E1734_2569099,SPOT,0,2
EXF33__2566678,EXF33_2566678,SPOT,0,2
E2J36__2569423,E2J36_2569423,SPOT,0,2
EW681__2571157,EW681_2571157,SPOT,0,2
10N887__2581993,10N887_2581993,SPOT,0,2
EW683__2571158,EW683_2571158,SPOT,0,2
E0V31__2563582,E0V31_2563582,SPOT,0,2
EXF52__2566684,EXF52_2566684,SPOT,0,2
EXF91__2566667,EXF91_2566667,SPOT,0,2
10FR37__2581532,10FR37_2581532,SPOT,0,2
E0V30__2563581,E0V30_2563581,SPOT,0,2
E3Y66__2569310,E3Y66_2569310,SPOT,0,2
10N882__2581985,10N882_2581985,SPOT,0,2
9HR46__2578421,9HR46_2578421,SPOT,0,2
10TF49__2582556,10TF49_2582556,SPOT,0,2
E0X13__2562676,E0X13_2562676,SPOT,0,2
E3Y46__2569304,E3Y46_2569304,SPOT,0,2
EW653__2566882,EW653_2566882,SPOT,0,2
8LP28__2576448,8LP28_2576448,SPOT,0,2
EXF54__2566685,EXF54_2566685,SPOT,0,2
EZT93__2474637,EZT93_2474637,SPOT,0,2
EXF35__2566679,EXF35_2566679,SPOT,0,2
E2N39__103896380,E2N39_103896380,SPOT,0,2
EXF74__2566690,EXF74_2566690,SPOT,0,2
EXF57__2566686,EXF57_2566686,SPOT,0,2
E0V35__2563583,E0V35_2563583,SPOT,0,2
E0V37__2563585,E0V37_2563585,SPOT,0,2
E0X16__2562677,E0X16_2562677,SPOT,0,2
E3R49__2569420,E3R49_2569420,SPOT,0,2
E0V36__2563584,E0V36_2563584,SPOT,0,2
EZT91__2474632,EZT91_2474632,SPOT,0,2
E2K86__2563084,E2K86_2563084,SPOT,0,2
E1022__2562534,E1022_2562534,SPOT,0,2
EZF04__2563034,EZF04_2563034,SPOT,0,2
EXS05__2575436,EXS05_2575436,SPOT,0,2
E0P09__2574604,E0P09_2574604,SPOT,0,2
E3X98__2563568,E3X98_2563568,SPOT,0,2
E1020__2562533,E1020_2562533,SPOT,0,2
EXG11__2563589,EXG11_2563589,SPOT,0,2
EZT73__2474728,EZT73_2474728,SPOT,0,2
12ME41__2587497,12ME41_2587497,SPOT,0,2
E3Y13__2563122,E3Y13_2563122,SPOT,0,2
E1603__2569139,E1603_2569139,SPOT,0,2
17BN16__104227649,17BN16_104227649,SPOT,0,2
E0P83__2470607,E0P83_2470607,SPOT,0,2
EZT95__2474638,EZT95_2474638,SPOT,0,2
110B46__2582938,110B46_2582938,SPOT,0,2
E0P81__2470606,E0P81_2470606,SPOT,0,2
E1053__2470384,E1053_2470384,SPOT,0,2
EZB82__2562679,EZB82_2562679,SPOT,0,2
14P237__2593397,14P237_2593397,SPOT,0,2
13LG47__2589960,13LG47_2589960,SPOT,0,2
12W992__2588103,12W992_2588103,SPOT,0,2
18GJ59__105595341,18GJ59_105595341,SPOT,0,2
E0P62__2561999,E0P62_2561999,SPOT,0,2
E3X95__2563567,E3X95_2563567,SPOT,0,2
E3R58__2569348,E3R58_2569348,SPOT,0,2
E0V05__103623007,E0V05_103623007,SPOT,0,2
E1680__2568938,E1680_2568938,SPOT,0,2
6GJ40__2573986,6GJ40_2573986,SPOT,0,2
EXS19__2563028,EXS19_2563028,SPOT,0,2
E1568__2569143,E1568_2569143,SPOT,0,2
E3R73__2569353,E3R73_2569353,SPOT,0,2
E1038__2470376,E1038_2470376,SPOT,0,2
E2K64__2579314,E2K64_2579314,SPOT,0,2
EXS99__2562827,EXS99_2562827,SPOT,0,2
E1058__2470382,E1058_2470382,SPOT,0,2
E3R12__2569321,E3R12_2569321,SPOT,0,2
12MN94__2587537,12MN94_2587537,SPOT,0,2
E1039__2470377,E1039_2470377,SPOT,0,2
E1162__2583750,E1162_2583750,SPOT,0,2
EXS12__2563024,EXS12_2563024,SPOT,0,2
15BW86__103385872,15BW86_103385872,SPOT,0,2
6GK07__2477604,6GK07_2477604,SPOT,0,2
E3R71__2569352,E3R71_2569352,SPOT,0,2
E2J93__2563042,E2J93_2563042,SPOT,0,2
E3R76__2569354,E3R76_2569354,SPOT,0,2
EXS31__2563032,EXS31_2563032,SPOT,0,2
E1084__2474642,E1084_2474642,SPOT,0,2
E2N52__2563063,E2N52_2563063,SPOT,0,2
EXS17__2563027,EXS17_2563027,SPOT,0,2
E2M81__2569324,E2M81_2569324,SPOT,0,2
E2N12__2563046,E2N12_2563046,SPOT,0,2
E2N32__2563056,E2N32_2563056,SPOT,0,2
EXS10__2563023,EXS10_2563023,SPOT,0,2
E2N53__2563064,E2N53_2563064,SPOT,0,2
EXS16__2563026,EXS16_2563026,SPOT,0,2
E2N17__2563049,E2N17_2563049,SPOT,0,2
E2N50__2563062,E2N50_2563062,SPOT,0,2
E3R96__2569361,E3R96_2569361,SPOT,0,2
EXS30__2563031,EXS30_2563031,SPOT,0,2
EZT52__2470617,EZT52_2470617,SPOT,0,2
11C660__2584154,11C660_2584154,SPOT,0,2
E2M22__2569298,E2M22_2569298,SPOT,0,2
E3R55__2569344,E3R55_2569344,SPOT,0,2
EXS37__2563033,EXS37_2563033,SPOT,0,2
E2N13__2563047,E2N13_2563047,SPOT,0,2
