[GENERAL]
DATE=March 18, 2015 at 10:28:30
CYME_VERSION=5.04
CYMDIST_REVISION=02

[SI]

[CONCENTRIC NEUTRAL CABLE]
FORMAT_CONCENTRICNEUTRALCABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,NumberOfPhases,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,PhaseCondID,NeutralCondID,NeutralWires,InsulationType,InsulationDielectricConst,InsulationDiameter,Dab,Dbc,Dac,RatedLevel,ContinuousTemperatureRating,SCCurrentTemperatureRating,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Comments
PEC1_#2_AL_TRXLPE_D_B,0.956911,2.205867,0.118060,1.491290,47.304973,0.000000,105.000000,105.000000,105.000000,105.000000,105.000000,105.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#2_AL_TRXLPE_D_B_W_S,0.956911,2.205867,0.118060,1.491290,47.304973,0.000000,105.000000,105.000000,105.000000,105.000000,105.000000,105.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#2_AL_TRXLPE_I_C,0.956911,2.205870,0.118060,1.491290,47.305000,0.000000,105.000000,105.000000,105.000000,105.000000,105.000000,105.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#2_AL-J_TRXLPE_CIC,0.956911,2.205867,0.118060,1.491290,47.304973,0.000000,182.000000,182.000000,182.000000,182.000000,182.000000,182.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#2_AL-J_TRXLPE_D_B,0.956911,2.205867,0.118060,1.491290,47.304973,0.000000,182.000000,182.000000,182.000000,182.000000,182.000000,182.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#2_AL-J_TRXLPE_D_B_W_S,0.956911,2.205867,0.118060,1.491290,47.304973,0.000000,182.000000,182.000000,182.000000,182.000000,182.000000,182.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#2_AL-J_TRXLPE_I_C,0.956911,2.205867,0.118060,1.491290,47.304974,0.000000,182.000000,182.000000,182.000000,182.000000,182.000000,182.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#2_AWG_AL_XLPE_JACKET_CN_D_,0.956911,2.205870,0.118060,1.491290,47.305000,0.000000,182.000000,182.000000,182.000000,182.000000,182.000000,182.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#2_AWG_AL_XLPE_JACKET_CN_I_,0.956911,2.205870,0.118060,1.491290,47.305000,0.000000,182.000000,182.000000,182.000000,182.000000,182.000000,182.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC1_#2_CU_TRXLPE_CIC,0.584089,1.764690,0.118060,0.963125,46.783001,0.000000,160.000000,160.000000,160.000000,160.000000,160.000000,160.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
